group,metric,episode,mean,std,min,max,seed_count
MAPPO+Learned(id),travel_time,56,1202.7372333333333,40.02969047947062,1148.5372,1243.9911,3
MAPPO+Learned(id),travel_time,57,1177.0879333333332,29.73102298277377,1136.2528,1206.1813,3
MAPPO+Learned(id),travel_time,58,1172.3739333333333,28.641927819234255,1149.5899,1212.7695,3
MAPPO+Learned(id),travel_time,59,1177.8757,68.04174788289916,1124.3835,1273.8927,3
MAPPO+Learned(id),travel_time,60,1186.1448,62.77088742248811,1109.6462,1263.3973,3
MAPPO+Learned(id),travel_time,61,1176.6973333333333,34.44467797384994,1133.4295,1217.711,3
MAPPO+Learned(id),travel_time,62,1167.8187,15.796501645617548,1146.4083,1184.0457,3
MAPPO+Learned(id),travel_time,63,1157.6823666666667,23.443932881996407,1124.6654,1176.8056,3
MAPPO+Learned(id),travel_time,64,1145.6371666666666,40.78763685148834,1088.7489,1182.3421,3
MAPPO+Learned(id),travel_time,65,1148.3514000000002,24.179072103508613,1114.2918,1168.0078,3
MAPPO+Learned(id),travel_time,66,1141.2731,17.046409019106246,1119.4472,1161.0513,3
MAPPO+Learned(id),travel_time,67,1139.6803666666667,18.644234374614495,1113.3155,1153.1484,3
MAPPO+Learned(id),travel_time,68,1096.8165666666666,30.963462341964046,1064.4586,1138.546,3
MAPPO+Learned(id),travel_time,69,1110.5195999999999,22.15300366331092,1084.0152,1138.238,3
MAPPO+Learned(id),travel_time,70,1142.2958999999998,26.896488163822934,1110.0637,1175.9033,3
MAPPO+Learned(id),travel_time,71,1097.6885,32.11334328686435,1055.9055,1133.9922,3
MAPPO+Learned(id),travel_time,72,1104.0183,31.180528508670232,1060.7079,1132.8495,3
MAPPO+Learned(id),travel_time,73,1067.7732333333333,54.33179061349711,997.7822,1130.2252,3
MAPPO+Learned(id),travel_time,74,1076.9587000000001,34.25526373333013,1028.7047,1104.8003,3
MAPPO+Learned(id),travel_time,75,1052.8594999999998,75.46049872098644,955.6324,1139.5729,3
MAPPO+Learned(id),travel_time,76,1045.0428666666667,83.79005102669146,931.5542,1131.3067,3
MAPPO+Learned(id),travel_time,77,1026.1501333333333,84.01367839938654,907.4044,1088.9922,3
MAPPO+Learned(id),travel_time,78,1011.1719666666668,71.64370481702417,910.943,1074.1257,3
MAPPO+Learned(id),travel_time,79,1003.3220000000001,81.44662934539815,898.0103,1096.381,3
MAPPO+Learned(id),travel_time,80,988.9252999999999,59.13564975821829,921.255,1065.3173,3
MAPPO+Learned(id),travel_time,81,977.3982666666667,99.49962933118005,860.7465,1103.875,3
MAPPO+Learned(id),travel_time,82,1010.0360000000001,48.95040463680218,943.461,1059.7564,3
MAPPO+Learned(id),travel_time,83,1015.0643333333334,52.265441696805915,955.3839,1082.6696,3
MAPPO+Learned(id),travel_time,84,997.0449666666667,59.040053682582524,932.619,1075.2532,3
MAPPO+Learned(id),travel_time,85,996.9463,73.72698159507141,910.4529,1090.6179,3
MAPPO+Learned(id),travel_time,86,967.6488666666668,25.470545695676716,931.7458,988.1204,3
MAPPO+Learned(id),travel_time,87,953.1004333333334,45.79332667375113,914.6303,1017.4529,3
MAPPO+Learned(id),travel_time,88,966.7153,59.96587505089876,900.4274,1045.6664,3
MAPPO+Learned(id),travel_time,89,945.7184666666667,28.605114061455634,922.3265,985.9975,3
MAPPO+Learned(id),travel_time,90,931.1258000000001,35.368539693631725,902.7153,980.9826,3
MAPPO+Learned(id),travel_time,91,904.6750666666667,31.50282570440662,878.9543,949.039,3
MAPPO+Learned(id),travel_time,92,881.4216333333334,56.931885063019735,828.6374,960.4657,3
MAPPO+Learned(id),travel_time,93,956.8289666666666,76.52710567297197,886.4763,1063.2266,3
MAPPO+Learned(id),travel_time,94,920.1145,49.547417518440504,852.1891,968.9777,3
MAPPO+Learned(id),travel_time,95,881.7190666666667,40.96174564821292,851.6349,939.6331,3
MAPPO+Learned(id),travel_time,96,885.7274666666667,55.989153218954435,844.9065,964.8952,3
MAPPO+Learned(id),travel_time,97,833.2713666666667,28.168603734930766,801.0818,869.6905,3
