group,metric,episodes,seed_count_min,seed_count_max,first_mean,last_mean,best_mean,best_episode,mean_of_mean,last_std
MAPPO+Learned(id),travel_time,250,3,3,1325.0383666666667,195.0235,194.92669999999998,246,664.2595722666667,5.41947826517154
MAPPO+Learned(id),loss,250,3,3,0.0021319999999999998,-1.6e-05,-3.5000000000000004e-05,151,0.00016346400000000002,2.1602468994692872e-06
MAPPO+Learned(id),reward,250,3,3,-67.43756666666665,-1.8659666666666668,-1.8659666666666668,249,-27.933986666666662,0.2871826054775756
MAPPO+Learned(id),queue,250,3,3,16.872533333333333,0.4190333333333333,0.41896666666666665,246,6.953336933333336,0.07088207734603218
MAPPO+Learned(id),delay,250,3,3,0.13263333333333335,0.034833333333333334,0.034833333333333334,249,0.08560066666666673,0.002408780235351957
MAPPO+Learned(id),throughput,250,3,3,1643.0,2807.3333333333335,2808.6666666666665,248,2290.816,1.699673171197595
all_weights,travel_time,250,3,3,1332.3416,181.9478,181.9478,249,559.9479602666671,3.623025256145289
all_weights,loss,250,3,3,0.0021486666666666668,-1.0666666666666669e-05,-3.8333333333333334e-05,103,0.00010693599999999989,4.109609335312651e-06
all_weights,reward,250,3,3,-67.78036666666667,-1.204,-1.204,249,-21.592239066666654,0.18972492368338606
all_weights,queue,250,3,3,16.9575,0.2571333333333334,0.2571333333333334,249,5.3675632,0.04539268174007297
all_weights,delay,250,3,3,0.13249999999999998,0.026233333333333334,0.026233333333333334,249,0.07095533333333333,0.0029533408577782244
all_weights,throughput,250,3,3,1636.6666666666667,2809.6666666666665,2809.6666666666665,244,2397.4106666666657,0.4714045207910317
FiLM,travel_time,250,3,3,1323.6984333333332,279.51393333333334,279.51393333333334,249,922.118252133333,101.10418967897532
FiLM,loss,250,3,3,0.0022146666666666664,-1.7666666666666668e-05,-2.0666666666666663e-05,248,0.0002095413333333335,1.1145502331533657e-05
FiLM,reward,250,3,3,-67.59536666666666,-5.2931,-5.2931,249,-43.02241866666664,3.8685715822079167
FiLM,queue,250,3,3,16.909033333333333,1.2608000000000001,1.2608000000000001,249,10.74176239999999,0.9591783045920086
FiLM,delay,250,3,3,0.13296666666666668,0.055266666666666665,0.055266666666666665,249,0.10907893333333335,0.01690568609143747
FiLM,throughput,250,3,3,1649.3333333333333,2745.3333333333335,2747.0,244,1998.0999999999997,85.11299678793024
all_weights_residual,travel_time,250,3,3,1323.2880333333333,344.125,344.125,249,1013.6268033333329,73.01968835928203
all_weights_residual,loss,250,3,3,0.002172,-9e-06,-2.1e-05,127,0.0001661266666666666,5.887840577551898e-06
all_weights_residual,reward,250,3,3,-67.49716666666667,-8.9385,-8.9385,249,-49.13075800000001,4.042830342717834
all_weights_residual,queue,250,3,3,16.884333333333334,2.1705,2.1705,249,12.276486933333334,1.0157472224918953
all_weights_residual,delay,250,3,3,0.1328,0.07263333333333333,0.07263333333333333,249,0.11768266666666671,0.008249579113843055
all_weights_residual,throughput,250,3,3,1650.3333333333333,2669.0,2669.0,249,1898.1786666666667,113.56055653262712
outputLayer_residual,travel_time,250,3,3,1326.3209,482.0947666666666,482.0947666666666,249,1059.9668182666665,138.89399547766232
outputLayer_residual,loss,250,3,3,0.002205,2.6666666666666673e-06,-7.333333333333333e-06,179,0.0001967253333333336,2.70842307543625e-05
outputLayer_residual,reward,250,3,3,-67.6564,-15.837233333333332,-15.837233333333332,249,-52.13163693333331,8.489945389040432
outputLayer_residual,queue,250,3,3,16.926000000000002,3.903566666666667,3.903566666666667,249,13.030805866666666,2.1417335304737506
outputLayer_residual,delay,250,3,3,0.1334,0.08660000000000001,0.08660000000000001,249,0.12148626666666665,0.00809485433264038
outputLayer_residual,throughput,250,3,3,1651.3333333333333,2505.0,2505.0,249,1852.2920000000006,246.0785782360315
